epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.271,1.01506,9.6676,0.6915,0.85655,1.36742,0.94559,0.92481,0.97567,0.77725,0.45629,0.2462,0.1559,0.02389,0.85467,7.13472,0.55683,0.50192,1.19856,0.00333043,0.00333043,0.00333043
2,765.671,0.88929,7.18966,0.6428,0.62993,1.25334,0.93758,0.93416,0.97173,0.76914,0.85928,0.49764,0.51322,0.22402,0.85741,5.05066,0.43445,0.51143,1.23951,0.0065978,0.0065978,0.0065978
3,1111.08,0.93844,6.45501,0.59212,0.67864,1.27955,0.88906,0.82681,0.90242,0.69198,0.74997,0.45227,0.40769,0.19729,0.99153,5.33001,0.34951,0.76782,1.36854,0.00979916,0.00979916,0.00979916
4,1457.63,0.97928,6.17847,0.52304,0.71667,1.30093,0.9274,0.91652,0.96094,0.73529,0.80207,0.57321,0.57194,0.31071,0.91536,4.14835,0.22544,0.56635,1.28652,0.009703,0.009703,0.009703
5,1806.3,0.93226,5.68783,0.46834,0.66868,1.26959,0.92867,0.93745,0.97259,0.77879,0.61521,0.49025,0.36064,0.19937,0.82414,4.51662,0.17482,0.49296,1.19895,0.009604,0.009604,0.009604
6,2166.86,0.88956,5.26225,0.43164,0.62173,1.23764,0.9514,0.94048,0.98064,0.80325,0.65311,0.55497,0.45856,0.27911,0.78281,4.07899,0.16003,0.4491,1.15659,0.009505,0.009505,0.009505
7,2492.95,0.86642,5.06586,0.40915,0.60107,1.22076,0.91435,0.91436,0.9626,0.76879,0.82158,0.64534,0.64582,0.39914,0.83759,3.54523,0.141,0.51556,1.22114,0.009406,0.009406,0.009406
8,2825.83,0.84456,4.83217,0.39072,0.58066,1.20808,0.95906,0.95541,0.98383,0.81918,0.8099,0.67484,0.69462,0.4726,0.72747,3.19895,0.10724,0.41898,1.11028,0.009307,0.009307,0.009307
9,3308.97,0.83272,4.69751,0.37966,0.56062,1.19941,0.95121,0.94666,0.98252,0.82387,0.82895,0.67442,0.68972,0.48076,0.72036,3.16489,0.09326,0.41448,1.10407,0.009208,0.009208,0.009208
10,3849.26,0.81811,4.614,0.36827,0.55102,1.18997,0.95338,0.96164,0.9859,0.83009,0.80656,0.70139,0.70741,0.49157,0.69562,2.94528,0.1031,0.39134,1.08855,0.009109,0.009109,0.009109
